location,date,variant,num_sequences_total
Egypt,9/20/2021,Gamma,5
Egypt,9/20/2021,Iota,5
Egypt,9/20/2021,Kappa,5
Egypt,9/20/2021,Lambda,5
Egypt,9/20/2021,Mu,5
Egypt,9/20/2021,Omicron,5
Egypt,9/20/2021,S:677H.Robin1,5
Egypt,9/20/2021,S:677P.Pelican,5
Egypt,9/20/2021,others,5
Egypt,9/20/2021,non_who,5
Egypt,10/4/2021,Alpha,9
Egypt,10/4/2021,B.1.1.277,9
Egypt,10/4/2021,B.1.1.302,9
Egypt,10/4/2021,B.1.1.519,9
Egypt,10/4/2021,B.1.160,9
Egypt,10/4/2021,B.1.177,9
Egypt,10/4/2021,B.1.221,9
Egypt,10/4/2021,B.1.258,9
Egypt,10/4/2021,B.1.367,9
Egypt,10/4/2021,B.1.620,9
Egypt,10/4/2021,Beta,9
Egypt,10/4/2021,Delta,9
Egypt,10/4/2021,Epsilon,9
Egypt,10/4/2021,Eta,9
Egypt,10/4/2021,Gamma,9
Egypt,10/4/2021,Iota,9
Egypt,10/4/2021,Kappa,9
Egypt,10/4/2021,Lambda,9
Egypt,10/4/2021,Mu,9
Egypt,10/4/2021,Omicron,9
Egypt,10/4/2021,S:677H.Robin1,9
Egypt,10/4/2021,S:677P.Pelican,9
Egypt,10/4/2021,others,9
Egypt,10/4/2021,non_who,9
Egypt,10/18/2021,Alpha,21
Egypt,10/18/2021,B.1.1.277,21
Egypt,10/18/2021,B.1.1.302,21
Egypt,10/18/2021,B.1.1.519,21
Egypt,10/18/2021,B.1.160,21
Egypt,10/18/2021,B.1.177,21
Egypt,10/18/2021,B.1.221,21
Egypt,10/18/2021,B.1.258,21
Egypt,10/18/2021,B.1.367,21
Egypt,10/18/2021,B.1.620,21
Egypt,10/18/2021,Beta,21
Egypt,10/18/2021,Delta,21
Egypt,10/18/2021,Epsilon,21
Egypt,10/18/2021,Eta,21
Egypt,10/18/2021,Gamma,21
Egypt,10/18/2021,Iota,21
Egypt,10/18/2021,Kappa,21
Egypt,10/18/2021,Lambda,21
Egypt,10/18/2021,Mu,21
Egypt,10/18/2021,Omicron,21
Egypt,10/18/2021,S:677H.Robin1,21
Egypt,10/18/2021,S:677P.Pelican,21
Egypt,10/18/2021,others,21
Egypt,10/18/2021,non_who,21
Egypt,11/1/2021,Alpha,66
Egypt,11/1/2021,B.1.1.277,66
Egypt,11/1/2021,B.1.1.302,66
Egypt,11/1/2021,B.1.1.519,66
Egypt,11/1/2021,B.1.160,66
Egypt,11/1/2021,B.1.177,66
Egypt,11/1/2021,B.1.221,66
Egypt,11/1/2021,B.1.258,66
Egypt,11/1/2021,B.1.367,66
Egypt,11/1/2021,B.1.620,66
Egypt,11/1/2021,Beta,66
Egypt,11/1/2021,Delta,66
Egypt,11/1/2021,Epsilon,66
Egypt,11/1/2021,Eta,66
Egypt,11/1/2021,Gamma,66
Egypt,11/1/2021,Iota,66
Egypt,11/1/2021,Kappa,66
Egypt,11/1/2021,Lambda,66
Egypt,11/1/2021,Mu,66
Egypt,11/1/2021,Omicron,66
Egypt,11/1/2021,S:677H.Robin1,66
Egypt,11/1/2021,S:677P.Pelican,66
Egypt,11/1/2021,others,66
Egypt,11/1/2021,non_who,66
Egypt,11/15/2021,Alpha,13
Egypt,11/15/2021,B.1.1.277,13
Egypt,11/15/2021,B.1.1.302,13
Egypt,11/15/2021,B.1.1.519,13
Egypt,11/15/2021,B.1.160,13
Egypt,11/15/2021,B.1.177,13
Egypt,11/15/2021,B.1.221,13
Egypt,11/15/2021,B.1.258,13
Egypt,11/15/2021,B.1.367,13
Egypt,11/15/2021,B.1.620,13
Egypt,11/15/2021,Beta,13
Egypt,11/15/2021,Delta,13
Egypt,11/15/2021,Epsilon,13
Egypt,11/15/2021,Eta,13
Egypt,11/15/2021,Gamma,13
Egypt,11/15/2021,Iota,13
Egypt,11/15/2021,Kappa,13
Egypt,11/15/2021,Lambda,13
Egypt,11/15/2021,Mu,13
Egypt,11/15/2021,Omicron,13
Egypt,11/15/2021,S:677H.Robin1,13
Egypt,11/15/2021,S:677P.Pelican,13
Egypt,11/15/2021,others,13
Egypt,11/15/2021,non_who,13
Egypt,11/29/2021,Alpha,6
Egypt,11/29/2021,B.1.1.277,6
Egypt,11/29/2021,B.1.1.302,6
Egypt,11/29/2021,B.1.1.519,6
Egypt,11/29/2021,B.1.160,6
Egypt,11/29/2021,B.1.177,6
Egypt,11/29/2021,B.1.221,6
Egypt,11/29/2021,B.1.258,6
Egypt,11/29/2021,B.1.367,6
Egypt,11/29/2021,B.1.620,6
Egypt,11/29/2021,Beta,6
Egypt,11/29/2021,Delta,6
Egypt,11/29/2021,Epsilon,6
Egypt,11/29/2021,Eta,6
Egypt,11/29/2021,Gamma,6
Egypt,11/29/2021,Iota,6
Egypt,11/29/2021,Kappa,6
Egypt,11/29/2021,Lambda,6
Egypt,11/29/2021,Mu,6
Egypt,11/29/2021,Omicron,6
Egypt,11/29/2021,S:677H.Robin1,6
Egypt,11/29/2021,S:677P.Pelican,6
Egypt,11/29/2021,others,6
Egypt,11/29/2021,non_who,6
Egypt,12/13/2021,Alpha,1
Egypt,12/13/2021,B.1.1.277,1
Egypt,12/13/2021,B.1.1.302,1
Egypt,12/13/2021,B.1.1.519,1
Egypt,12/13/2021,B.1.160,1
Egypt,12/13/2021,B.1.177,1
Egypt,12/13/2021,B.1.221,1
Egypt,12/13/2021,B.1.258,1
Egypt,12/13/2021,B.1.367,1
Egypt,12/13/2021,B.1.620,1
Egypt,12/13/2021,Beta,1
Egypt,12/13/2021,Delta,1
Egypt,12/13/2021,Epsilon,1
Egypt,12/13/2021,Eta,1
Egypt,12/13/2021,Gamma,1
Egypt,12/13/2021,Iota,1
Egypt,12/13/2021,Kappa,1
Egypt,12/13/2021,Lambda,1
Egypt,12/13/2021,Mu,1
Egypt,12/13/2021,Omicron,1
Egypt,12/13/2021,S:677H.Robin1,1
Egypt,12/13/2021,S:677P.Pelican,1
Egypt,12/13/2021,others,1
Egypt,12/13/2021,non_who,1
Estonia,9/14/2020,Alpha,9
Estonia,9/14/2020,B.1.1.277,9
Estonia,9/14/2020,B.1.1.302,9
Estonia,9/14/2020,B.1.1.519,9
Estonia,9/14/2020,B.1.160,9
Estonia,9/14/2020,B.1.177,9
Estonia,9/14/2020,B.1.221,9
Estonia,9/14/2020,B.1.258,9
Estonia,9/14/2020,B.1.367,9
Estonia,9/14/2020,B.1.620,9
Estonia,9/14/2020,Beta,9
Estonia,9/14/2020,Delta,9
Estonia,9/14/2020,Epsilon,9
Estonia,9/14/2020,Eta,9
Estonia,9/14/2020,Gamma,9
Estonia,9/14/2020,Iota,9
Estonia,9/14/2020,Kappa,9
Estonia,9/14/2020,Lambda,9
Estonia,9/14/2020,Mu,9
Estonia,9/14/2020,Omicron,9
Estonia,9/14/2020,S:677H.Robin1,9
Estonia,9/14/2020,S:677P.Pelican,9
Estonia,9/14/2020,others,9
Estonia,9/14/2020,non_who,9
Estonia,9/28/2020,Alpha,120
Estonia,9/28/2020,B.1.1.277,120
Estonia,9/28/2020,B.1.1.302,120
Estonia,9/28/2020,B.1.1.519,120
Estonia,9/28/2020,B.1.160,120
Estonia,9/28/2020,B.1.177,120
Estonia,9/28/2020,B.1.221,120
Estonia,9/28/2020,B.1.258,120
Estonia,9/28/2020,B.1.367,120
Estonia,9/28/2020,B.1.620,120
Estonia,9/28/2020,Beta,120
Estonia,9/28/2020,Delta,120
Estonia,9/28/2020,Epsilon,120
Estonia,9/28/2020,Eta,120
Estonia,9/28/2020,Gamma,120
Estonia,9/28/2020,Iota,120
Estonia,9/28/2020,Kappa,120
Estonia,9/28/2020,Lambda,120
Estonia,9/28/2020,Mu,120
Estonia,9/28/2020,Omicron,120
Estonia,9/28/2020,S:677H.Robin1,120
Estonia,9/28/2020,S:677P.Pelican,120
Estonia,9/28/2020,others,120
Estonia,9/28/2020,non_who,120
Estonia,10/12/2020,Alpha,55
Estonia,10/12/2020,B.1.1.277,55
Estonia,10/12/2020,B.1.1.302,55
Estonia,10/12/2020,B.1.1.519,55
Estonia,10/12/2020,B.1.160,55
Estonia,10/12/2020,B.1.177,55
Estonia,10/12/2020,B.1.221,55
Estonia,10/12/2020,B.1.258,55
Estonia,10/12/2020,B.1.367,55
Estonia,10/12/2020,B.1.620,55
Estonia,10/12/2020,Beta,55
